"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL426111";"";"0";"503.61";"1";"4.92";"12";"C[C@H](CCN1CCN(c2cc(C(F)(F)F)nc(C(C)(C)C)n2)CC1)CN1C(=O)CCc2ccccc21";"Ki";"'='";"64.9";"nM";"7.19";"";"";"UO_0000065";"14.27";"0.27";"2.27";"13.67";"False";"CHEMBL853593";"Binding affinity to human cloned dopamine D3 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149426";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL4071240";"";"0";"541.48";"2";"5.45";"3";"NC(=O)c1cccc(-c2cccc(OC(=O)NCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)c2)c1";"EC50";"'='";"0.302";"nM";"9.52";"";"";"UO_0000065";"17.58";"0.35";"4.07";"10.83";"False";"CHEMBL4008742";"Agonist activity at recombinant human CB1 receptor expressed in CHO-K1 cells assessed as increase in cAMP accumulation after 20 mins by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007414";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4063681";"";"0";"534.92";"1";"6.35";"20";"Cl.O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)Oc1cccc(-c2ccccc2)c1";"EC50";"'='";"240.0";"nM";"6.62";"";"";"UO_0000065";"13.28";"0.27";"0.27";"14.77";"False";"CHEMBL4008738";"Agonist activity at recombinant human dopamine D3 receptor expressed in CHO-K1 cells assessed as increase in cAMP accumulation after 30 mins by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007414";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4451683";"";"0";"455.00";"0";"3.69";"5; VK4-40";"CCc1cccc(N2CCN(CC(O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl";"Ki";"'='";"0.433";"nM";"9.36";"";"";"UO_0000065";"20.58";"0.40";"5.67";"13.08";"False";"CHEMBL4415925";"Displacement of [3H]N-methylspiperone from human D3 receptor expressed in HEK293 cell membranes measured after 60 mins by scintillation counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414587";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";""
"CHEMBL4096353";"";"0";"436.52";"0";"2.69";"8b";"COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(/C=N\O)c3c2)CC1";"EC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"17.00";"0.32";"4.73";"7.84";"False";"CHEMBL4010161";"Agonist activity at human Dopamine D3 receptor expressed in HEK293T cell membranes coexpressing GalphaoA incubated for 30 mins measured after 75 mins by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";""
"CHEMBL339963";"";"0";"329.42";"0";"2.86";"(S)-(-)-3b";"O[C@@H](CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1";"Ki";"'='";"125.0";"nM";"6.90";"";"";"UO_0000065";"20.96";"0.39";"4.04";"17.43";"False";"CHEMBL651365";"Displacement of [3H]-spiperone from CHO-K1 cell membranes expressing human dopamine 3 receptors";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126960";"1";"Scientific Literature";"J. Med. Chem.";"1993";"CHEMBL3307512";""
"CHEMBL3642734";"";"0";"519.69";"1";"3.35";"BDBM106468";"O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(N2CCOCC2)cc1";"Ki";"'='";"16.9";"nM";"7.77";"";"225079";"UO_0000065";"14.96";"0.28";"4.42";"11.08";"False";"CHEMBL3707834";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3697960";"";"0";"389.50";"0";"1.59";"BDBM121463";"O=C(CO)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1";"Ki";"'='";"1.69";"nM";"8.77";"";"249875";"UO_0000065";"22.52";"0.43";"7.18";"11.81";"False";"CHEMBL3705361";"Radioligand Binding Assay: Aliquots of membrane preparations were thawed at RT, resupended in assay buffer (D2, D3: 50 mM Tris-HCl, 120 mM NaCl, 5 mM MgCl2, 1 mM EDTA, 5 mM KCl, 1.5 mM CaCl2, pH=7.4; 5-HT2A: 50 mM Tris-HCl, 10 mM MgCl2, 1 mM EGTA, pH=7.4), homogenized with a Polytron for 20-30 sec at 12.000 rpm and adjusted to a final concentration of approximately 7.5 μg protein/well (D2, D3) and 15 μg protein/well (5-HT2A), respectively. The binding affinity (Ki) of the compounds was determined using radioligand binding. Membranes were incubated in a total volume of 200 μl with a fixed concentration of radioligand (final concentration approximately 0.7 nM [3H]-spiperone for D2, 0.5 nM [3H]-spiperone for D3, and 1.1 nM [3H]-ketanserin for 5-HT2A) and ten concentrations of test compound in ranging between 10 μM-0.1 nM for 1 h at RT.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639169";"37";"BindingDB Database";"";"2014";"None";""
"CHEMBL3642783";"";"0";"428.58";"0";"3.36";"BDBM106518";"COCCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3ncc(C)c4occc34)CC2)CC1";"Ki";"'='";"30.0";"nM";"7.52";"";"225129";"UO_0000065";"17.55";"0.33";"4.16";"10.62";"False";"CHEMBL3707834";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3642770";"";"0";"428.62";"0";"3.64";"BDBM106504";"CC(C)CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1";"Ki";"'='";"22.7";"nM";"7.64";"";"225115";"UO_0000065";"17.83";"0.34";"4.00";"13.25";"False";"CHEMBL3707834";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3642799";"";"0";"428.58";"0";"2.12";"BDBM106534";"O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C1(O)CCC1";"Ki";"'='";"131.2";"nM";"6.88";"";"225145";"UO_0000065";"16.06";"0.30";"4.76";"8.83";"False";"CHEMBL3707834";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL353642";"";"0";"536.39";"2";"5.18";"12";"COc1c(C(=O)NCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc(Br)c2ccccc12";"Ki";"'='";"251.19";"nM";"6.60";"";"";"UO_0000065";"12.30";"0.27";"1.42";"14.73";"False";"CHEMBL858764";"Competitive inhibition of [3H]spiperone binding to the human dopamine receptor D3 expressed in CHO cells, expressed as 10log Ki";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129965";"1";"Scientific Literature";"J. Med. Chem.";"1997";"CHEMBL3308072";""
"CHEMBL3642808";"";"0";"503.47";"1";"4.82";"BDBM106543";"O=C(N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(Cl)cc1Cl";"Ki";"'='";"26.7";"nM";"7.57";"";"225154";"UO_0000065";"15.04";"0.30";"2.75";"13.13";"False";"CHEMBL3707834";"Radioligand Binding Assay: The ability of the compounds to bind to the 5-HT2A, D3 and D2 receptors was determined using radioligand binding to cloned receptors selectively expressed in HEK-293 EBNA cells.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"EBNA";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639183";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL175466";"";"0";"438.79";"0";"4.76";"12";"O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(Cl)cc1";"Ki";"'='";"2.6";"nM";"8.59";"";"";"UO_0000065";"19.57";"0.42";"3.83";"24.13";"False";"CHEMBL838684";"Binding affinity for human dopamine D3 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145183";"1";"Scientific Literature";"J. Med. Chem.";"2005";"None";""
"CHEMBL3322998";"";"0";"428.54";"0";"3.21";"12";"O=C(NCCCCN1CCN(c2ccnc3ccccc23)CC1)c1cn2ccccc2n1";"IC50";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"17.00";"0.31";"4.07";"11.07";"False";"CHEMBL3372143";"Antagonist activity against D3R in human U2OS cells assessed as inhibition of (+)-PD128907-induced beta-arrestin translocation by beta-galactosidase based beta-arrestin recruitment assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U2OS";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351252";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307757";""
"CHEMBL3323003";"";"0";"429.53";"0";"2.61";"17";"O=C(NCCCCN1CCN(c2ncnc3ccccc23)CC1)c1cn2ccccc2n1";"IC50";"'='";"409.0";"nM";"6.39";"";"";"UO_0000065";"14.87";"0.27";"3.78";"8.12";"False";"CHEMBL3372143";"Antagonist activity against D3R in human U2OS cells assessed as inhibition of (+)-PD128907-induced beta-arrestin translocation by beta-galactosidase based beta-arrestin recruitment assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"U2OS";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351252";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307757";""
"CHEMBL456430";"";"0";"345.85";"0";"4.49";"2c";"OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2Cc1ccc(F)cc1";"Ki";"'='";"172.0";"nM";"6.76";"";"";"UO_0000065";"19.56";"0.38";"2.27";"28.82";"False";"CHEMBL1033196";"Displacement of [3H]N-methylspiperone from human dopamine D3 receptor by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152692";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"None";""
"CHEMBL3322992";"";"0";"377.49";"0";"2.67";"6";"O=C(NCCCCN1CCN(c2ccccc2)CC1)c1cn2ccccc2n1";"Ki";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"21.19";"0.39";"5.33";"15.13";"False";"CHEMBL3379350";"Displacement of [125I]IABN from human D3R expressed in HEK293 cell membranes by gamma counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351252";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL1221682";"";"0";"362.50";"0";"3.28";"17";"O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@@H]3CCC[C@@H]3C3CCCC3)c2s1";"Ki";"'='";"842.0";"nM";"6.08";"";"";"UO_0000065";"16.76";"0.33";"2.79";"7.12";"False";"CHEMBL3378139";"Displacement of [125I]7-HO-PIPAT from human D3R expressed in HEK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352631";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2014";"CHEMBL3307715";""
"CHEMBL3323654";"";"0";"362.50";"0";"3.28";"4, 1:1diastereomeric mixture";"O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@H]3CCC[C@@H]3C3CCCC3)c2s1";"Ki";"'='";"1141.0";"nM";"5.94";"";"";"UO_0000065";"16.39";"0.32";"2.66";"6.96";"False";"CHEMBL3378139";"Displacement of [125I]7-HO-PIPAT from human D3R expressed in HEK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352631";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2014";"CHEMBL3307715";""
"CHEMBL3323112";"";"0";"560.67";"1";"3.83";"34";"CN(C)Cc1c(C(=O)NCCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)nc2ccccn12";"Ki";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"13.50";"0.26";"3.74";"9.24";"False";"CHEMBL3379896";"Displacement of [125I]IABN from chimeric human D3 receptor possessing extracellular loop II of D2 receptor expressed in HEK293 cell membranes by gamma counting method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351252";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL561326";"";"0";"451.96";"0";"4.51";"20";"O=C1N(CCN2CCC(c3nnc(-c4ccccc4)o3)CC2)CCN1c1cccc(Cl)c1";"Ki";"'='";"158.49";"nM";"6.80";"";"";"UO_0000065";"15.05";"0.29";"2.29";"10.35";"False";"CHEMBL1044429";"Binding affinity to human DRD3 receptor by GTPgammaS binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155321";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL4442548";"";"0";"324.43";"0";"2.40";"21; CAB02-017HP";"CCc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1";"EC50";"'='";"2755.0";"nM";"5.56";"";"";"UO_0000065";"17.14";"0.32";"3.16";"11.47";"False";"CHEMBL4392188";"Agonist activity at human D3 receptor expressed in CHOK1 cells assessed as induction of beta-arrestin recruitment measured after 90 mins by luminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390675";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4455770";"";"0";"419.53";"0";"2.97";"cis-38a";"C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CC1CC1CNC(=O)c1cc2ccccc2[nH]1";"Ki";"'='";"404.0";"nM";"6.39";"";"";"UO_0000065";"15.24";"0.28";"3.42";"6.64";"False";"CHEMBL4361372";"Displacement of [3H]-(R)-(+)-7-OH-DPAT from recombinant human D3 receptor expressed in HEK293 cell membranes measured after 90 mins by microbeta scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL234";"Dopamine D3 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4359839";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";""
